X Y	IV BETA SE P
CELSR2 bald12 13 0.011 0.011 0.31
CEMIP2 bald12 9 0.013 0.025 0.61
CENPF bald12 3 -0.025 0.048 0.6
CEP112 bald12 9 0.005 0.021 0.81
CEP20 bald12 3 0.032 0.042 0.46
CEP43 bald12 3 0.039 0.048 0.42
CES1 bald12 18 -0.005 0.01 0.57
CES3 bald12 7 0.006 0.015 0.68
CFB bald12 16 0.009 0.009 0.28
CFD bald12 11 -0.002 0.023 0.92
CFH bald12 21 -0.002 0.014 0.87
CFHR2 bald12 80 -0.004 0.005 0.41
CFHR4 bald12 101 -0.005 0.003 0.13
CFHR5 bald12 24 -0.002 0.009 0.79
CFI bald12 7 0.003 0.017 0.85
CGREF1 bald12 30 -0.004 0.007 0.61
CHAC2 bald12 7 -0.027 0.025 0.28
CHAD bald12 4 -0.003 0.017 0.84
CHCHD10 bald12 3 0.078 0.056 0.16
CHCHD6 bald12 6 0.012 0.019 0.52
CHGA bald12 4 0.045 0.086 0.6
CHGB bald12 11 0.003 0.008 0.74
CHI3L1 bald12 17 0.006 0.012 0.61
CHIT1 bald12 44 -0.005 0.005 0.31
CHL1 bald12 32 0.005 0.011 0.64
CHMP1A bald12 3 0.083 0.045 0.061
CHRDL2 bald12 8 -0.007 0.013 0.6
CILP bald12 3 -0.001 0.024 0.96
CIT bald12 4 0.031 0.068 0.65
CKAP4 bald12 9 -0.02 0.025 0.43
CLEC10A bald12 27 -0.006 0.01 0.54
CLEC11A bald12 8 0.011 0.014 0.45
CLEC12A bald12 11 0.007 0.011 0.51
CLEC14A bald12 3 0.018 0.062 0.78
CLEC1A bald12 10 0.015 0.014 0.29
CLEC1B bald12 3 0.03 0.03 0.31
CLEC3B bald12 5 0.051 0.049 0.29
CLEC4A bald12 7 0.007 0.01 0.49
CLEC4C bald12 42 -0.013 0.013 0.32
CLEC4D bald12 23 0.002 0.007 0.8
CLEC4G bald12 9 0.014 0.02 0.48
CLEC4M bald12 16 -0.01 0.013 0.43
CLEC5A bald12 7 0 0.019 1
CLEC6A bald12 22 0.006 0.008 0.5
CLEC7A bald12 40 0.003 0.004 0.42
CLGN bald12 28 -0.002 0.007 0.79
CLIC5 bald12 3 0.019 0.038 0.62
CLMP bald12 10 -0.017 0.012 0.16
CLPS bald12 50 -0.004 0.009 0.62
CLSTN2 bald12 31 -0.01 0.01 0.31
CLSTN3 bald12 14 -0.017 0.009 0.043
CLU bald12 9 0.017 0.038 0.65
CLUL1 bald12 47 0.006 0.007 0.37
CNDP1 bald12 21 -0.026 0.01 0.014
CNPY4 bald12 5 -0.02 0.043 0.64
CNTN1 bald12 17 -0.011 0.014 0.43
CNTN2 bald12 42 -0.004 0.006 0.5
CNTN3 bald12 17 0.002 0.018 0.93
CNTN4 bald12 26 0.01 0.014 0.48
CNTN5 bald12 51 0.006 0.007 0.35
CNTNAP2 bald12 37 -0.007 0.02 0.73
COCH bald12 17 0.012 0.01 0.24
COL15A1 bald12 12 0.021 0.015 0.17
COL18A1 bald12 20 0.021 0.021 0.31
COL1A1 bald12 3 -0.106 0.039 0.0071
COL24A1 bald12 10 0.025 0.018 0.16
COL28A1 bald12 51 -0.002 0.008 0.75
COL2A1 bald12 37 -0.001 0.007 0.93
COL3A1 bald12 3 0.01 0.03 0.74
COL4A1 bald12 5 -0.024 0.048 0.62
COL5A1 bald12 8 0.01 0.025 0.68
COL6A3 bald12 3 -0.109 0.113 0.34
COL9A1 bald12 10 0.016 0.018 0.35
COLEC12 bald12 18 0.014 0.014 0.32
COMP bald12 6 0.023 0.021 0.28
COMT bald12 7 -0.021 0.013 0.099
CPA1 bald12 7 -0.023 0.025 0.37
CPA2 bald12 11 0.025 0.013 0.059
CPA4 bald12 21 0.007 0.011 0.53
CPB2 bald12 21 -0.001 0.007 0.91
CPE bald12 11 0.005 0.015 0.73
CPM bald12 8 -0.039 0.02 0.052
CPOX bald12 4 0.008 0.025 0.76
CPPED1 bald12 39 0.007 0.01 0.45
CPQ bald12 23 -0.014 0.009 0.13
CPVL bald12 30 0.002 0.004 0.56
CPXM1 bald12 15 0.007 0.011 0.54
CPXM2 bald12 26 0.006 0.011 0.61
CR1 bald12 34 -0.004 0.011 0.71
CR2 bald12 6 -0.033 0.019 0.083
CRACR2A bald12 6 -0.063 0.025 0.012
CREG1 bald12 4 0.003 0.021 0.89
CRELD1 bald12 37 0.004 0.006 0.55
CRELD2 bald12 16 0.005 0.012 0.69
CRH bald12 8 0.008 0.019 0.68
CRHBP bald12 24 0.006 0.012 0.61
CRIM1 bald12 7 -0.112 0.036 0.0019
CRIP2 bald12 5 0.009 0.025 0.71
CRISP2 bald12 24 -0.005 0.009 0.57
CRISP3 bald12 20 0.013 0.008 0.087
CRNN bald12 20 0.013 0.008 0.1
CRTAC1 bald12 29 -0.012 0.004 0.00064
CRTAM bald12 8 0.017 0.019 0.36
CRYBB1 bald12 3 0.034 0.017 0.045
CRYGD bald12 41 -0.001 0.004 0.77
CRYM bald12 7 0.001 0.018 0.97
CRYZL1 bald12 3 -0.009 0.025 0.72
CSF1 bald12 4 0.034 0.017 0.044
CSF1R bald12 7 -0.015 0.011 0.19
CSF2 bald12 6 -0.007 0.023 0.76
CSF2RB bald12 44 0 0.007 1
CSF3R bald12 10 0.001 0.013 0.93
CSPG4 bald12 6 -0.018 0.023 0.42
CST1 bald12 20 0.01 0.008 0.2
CST3 bald12 7 -0.058 0.025 0.021
CST5 bald12 30 -0.008 0.005 0.12
CST6 bald12 3 -0.013 0.022 0.57
CST7 bald12 40 -0.009 0.005 0.067
CSTB bald12 29 0 0.013 0.98
CTBS bald12 23 0.014 0.008 0.092
CTHRC1 bald12 4 -0.012 0.029 0.69
CTRB1 bald12 23 -0.005 0.009 0.6
CTRC bald12 7 0.017 0.011 0.13
CTSB bald12 24 0.006 0.011 0.59
CTSC bald12 35 0.003 0.003 0.43
CTSD bald12 12 0.006 0.017 0.72
CTSE bald12 15 -0.002 0.007 0.82
CTSF bald12 7 0.009 0.018 0.62
CTSH bald12 23 0 0.006 0.98
CTSO bald12 7 0.009 0.043 0.83
CTSS bald12 11 0.009 0.014 0.54
CTSV bald12 10 -0.003 0.028 0.9
CTSZ bald12 5 0.015 0.01 0.15
CX3CL1 bald12 8 -0.027 0.026 0.29
CXCL11 bald12 8 0.014 0.01 0.17
CXCL12 bald12 3 -0.002 0.02 0.94
CXCL16 bald12 10 0.013 0.014 0.38
CXCL1 bald12 17 0.002 0.014 0.91
CXCL5 bald12 6 -0.018 0.032 0.57
CXCL6 bald12 14 0.019 0.009 0.031
CXCL8 bald12 4 0.09 0.06 0.13
CYB5R2 bald12 13 -0.034 0.02 0.081
CYTL1 bald12 14 0.003 0.01 0.77
DAPK2 bald12 9 0.009 0.012 0.48
DBH bald12 68 0.005 0.004 0.26
DBI bald12 6 0.013 0.014 0.35
DCBLD2 bald12 15 0.007 0.014 0.63
DCC bald12 4 0.067 0.056 0.23
DCTD bald12 5 -0.01 0.092 0.92
DDAH1 bald12 7 -0.026 0.021 0.23
DDC bald12 11 0.005 0.017 0.78
DDR1 bald12 20 -0.02 0.014 0.17
DDT bald12 7 -0.018 0.027 0.5
DDX58 bald12 12 -0.014 0.013 0.29
DECR1 bald12 4 0.007 0.031 0.82
DFFA bald12 3 -0.065 0.136 0.64
DHRS4L2 bald12 12 0.01 0.012 0.4
DKK3 bald12 14 -0.005 0.013 0.67
DKK4 bald12 4 -0.004 0.031 0.89
DKKL1 bald12 72 -0.001 0.001 0.36
DLK1 bald12 14 -0.018 0.01 0.054
DLL1 bald12 8 0.029 0.021 0.18
DNAJA4 bald12 6 0.017 0.034 0.62
DNAJC6 bald12 4 0.031 0.046 0.51
DNER bald12 13 -0.013 0.02 0.53
DNM1 bald12 13 -0.005 0.02 0.8
DNMBP bald12 3 0.012 0.045 0.79
DNPEP bald12 3 0.076 0.076 0.32
DNPH1 bald12 7 0.025 0.015 0.089
DPEP1 bald12 67 -0.013 0.006 0.026
DPEP2 bald12 9 -0.002 0.015 0.9
DPP10 bald12 17 0.01 0.014 0.49
DPP4 bald12 6 0.073 0.083 0.38
DPP7 bald12 4 -0.028 0.019 0.15
DPT bald12 22 -0.018 0.008 0.019
DRAXIN bald12 22 0.017 0.011 0.13
DSC2 bald12 6 -0.013 0.024 0.6
DSCAM bald12 17 0.013 0.014 0.38
DSG2 bald12 11 0.006 0.016 0.7
DSG3 bald12 7 0.023 0.016 0.17
DSG4 bald12 4 -0.055 0.089 0.54
DTD1 bald12 3 -0.014 0.028 0.61
DTNB bald12 3 -0.066 0.091 0.47
DTX3 bald12 3 0.111 0.042 0.0084
DTYMK bald12 4 -0.039 0.086 0.65
DUSP13 bald12 4 0.001 0.039 0.98
DXO bald12 9 0.006 0.013 0.62
ECE1 bald12 5 0.023 0.025 0.35
ECHDC3 bald12 19 -0.001 0.01 0.95
ECM1 bald12 32 -0.003 0.008 0.75
EDAR bald12 18 0.018 0.016 0.26
EDN1 bald12 4 -0.029 0.02 0.15
EFCAB2 bald12 10 0 0.021 0.99
EFHD1 bald12 10 -0.001 0.018 0.94
EFNA1 bald12 4 0 0.014 0.98
EFNA4 bald12 5 -0.026 0.031 0.4
EGFL7 bald12 8 -0.017 0.018 0.36
EGFLAM bald12 13 -0.005 0.007 0.51
EGFR bald12 6 0.004 0.015 0.79
EHBP1 bald12 5 -0.07 0.106 0.51
EIF2AK3 bald12 3 -0.001 0.031 0.99
ELAC1 bald12 3 -0.01 0.036 0.78
ENDOU bald12 12 0.006 0.012 0.64
ENG bald12 7 0.043 0.03 0.15
ENO1 bald12 3 -0.016 0.029 0.6
ENO2 bald12 4 -0.055 0.04 0.17
ENPP2 bald12 17 -0.006 0.011 0.59
ENPP5 bald12 51 -0.003 0.005 0.53
ENPP6 bald12 13 -0.001 0.035 0.99
ENPP7 bald12 44 -0.011 0.005 0.026
ENTPD5 bald12 15 0.015 0.01 0.11
ENTPD6 bald12 19 -0.023 0.016 0.16
ENTR1 bald12 9 -0.007 0.019 0.71
EPHA1 bald12 8 0.01 0.02 0.62
EPHA2 bald12 7 0.019 0.022 0.39
EPHA4 bald12 7 -0.053 0.028 0.061
EPHB4 bald12 5 0.012 0.016 0.43
EPHB6 bald12 4 0.007 0.014 0.64
EPHX2 bald12 4 0.062 0.092 0.5
EPO bald12 3 -0.042 0.045 0.35
EPPK1 bald12 44 -0.021 0.009 0.024
EPS8L2 bald12 10 0.019 0.018 0.27
ERBB2 bald12 13 -0.001 0.015 0.97
ERBB3 bald12 7 -0.019 0.013 0.14
ERBB4 bald12 15 -0.018 0.023 0.42
ERMAP bald12 5 -0.036 0.026 0.16
ERN1 bald12 5 0.004 0.044 0.94
ESAM bald12 4 0.005 0.015 0.77
ESM1 bald12 6 -0.013 0.035 0.72
EXTL1 bald12 8 0.018 0.027 0.49
F10 bald12 10 0.005 0.024 0.84
F11 bald12 9 -0.015 0.011 0.17
F12 bald12 61 0.003 0.004 0.41
F13B bald12 16 0.008 0.018 0.65
F2 bald12 4 0.007 0.038 0.85
F2R bald12 6 -0.002 0.042 0.96
F3 bald12 11 -0.04 0.023 0.085
F7 bald12 16 -0.002 0.009 0.82
FABP2 bald12 6 0 0.018 0.99
FABP3 bald12 4 -0.017 0.064 0.79
FABP9 bald12 6 -0.026 0.036 0.46
FADD bald12 3 0.014 0.037 0.71
FAM13A bald12 7 -0.021 0.057 0.71
FAM171B bald12 10 0.017 0.015 0.24
FAM172A bald12 5 -0.083 0.029 0.0047
FAM20A bald12 8 -0.002 0.029 0.95
FAM3B bald12 19 -0.005 0.006 0.45
FAM3D bald12 9 0.035 0.014 0.012
FAP bald12 6 0.001 0.023 0.95
FAS bald12 13 0.008 0.015 0.57
FBLN2 bald12 9 0.001 0.016 0.93
FBN2 bald12 8 -0.001 0.017 0.97
FCAMR bald12 10 0.023 0.01 0.026
FCAR bald12 61 0.014 0.005 0.01
FCER1A bald12 5 -0.024 0.027 0.38
FCER2 bald12 17 -0.006 0.012 0.61
FCGR2A bald12 43 -0.009 0.005 0.083
FCGR2B bald12 26 0.011 0.011 0.36
FCGR3B bald12 58 0.002 0.003 0.44
FCN1 bald12 15 0.009 0.005 0.1
FCN2 bald12 25 -0.008 0.007 0.23
FCRL1 bald12 8 0.003 0.031 0.91
FCRL2 bald12 24 -0.008 0.01 0.46
FCRL3 bald12 58 0.001 0.007 0.86
FCRL5 bald12 12 -0.019 0.015 0.19
FCRL6 bald12 26 0.003 0.011 0.8
FCRLB bald12 36 0.004 0.006 0.51
FES bald12 3 -0.11 0.033 0.00075
FETUB bald12 19 -0.003 0.013 0.81
FGA bald12 5 -0.018 0.019 0.34
FGF2 bald12 54 -0.019 0.009 0.035
FGF5 bald12 25 -0.002 0.013 0.86
FGFBP1 bald12 10 -0.036 0.04 0.37
FGFBP2 bald12 16 0.012 0.011 0.27
FGFBP3 bald12 11 0.006 0.027 0.82
FGFR2 bald12 6 0.084 0.032 0.0074
FGFR4 bald12 57 0.004 0.006 0.49
FGL1 bald12 36 -0.012 0.008 0.15
FHIT bald12 6 0.032 0.035 0.36
FIS1 bald12 3 -0.052 0.029 0.076
FKBP1B bald12 4 0.017 0.032 0.59
FKBP5 bald12 3 -0.02 0.018 0.28
FKBPL bald12 3 0.043 0.111 0.7
FLRT2 bald12 25 -0.018 0.009 0.046
FLT4 bald12 12 0.008 0.01 0.4
FN1 bald12 9 0.032 0.019 0.1
FNDC1 bald12 24 0.021 0.016 0.19
FOLH1 bald12 4 -0.09 0.042 0.032
FOLR1 bald12 4 0.042 0.048 0.38
FOLR3 bald12 31 0.003 0.006 0.56
FOXO1 bald12 3 0.009 0.083 0.91
FRZB bald12 14 -0.009 0.008 0.25
FSTL1 bald12 4 0.016 0.045 0.73
FSTL3 bald12 4 0.052 0.052 0.31
FTCD bald12 8 -0.067 0.034 0.052
FUCA1 bald12 26 0.006 0.008 0.45
FUOM bald12 7 0.026 0.019 0.16
FUT8 bald12 42 0.001 0.007 0.86
FXN bald12 4 0.121 0.125 0.33
FXYD5 bald12 5 0.042 0.023 0.061
GALNT10 bald12 12 -0.01 0.011 0.35
GALNT2 bald12 16 -0.004 0.014 0.77
GALNT3 bald12 8 -0.025 0.048 0.61
GALNT5 bald12 8 -0.009 0.012 0.47
GALNT7 bald12 4 -0.007 0.036 0.85
GAS6 bald12 12 0.022 0.025 0.38
GASK1A bald12 36 0.005 0.009 0.59
GBP1 bald12 4 0.013 0.009 0.14
GBP2 bald12 4 -0.045 0.043 0.29
GBP4 bald12 28 -0.01 0.006 0.075
GC bald12 76 0.005 0.005 0.25
GCNT1 bald12 17 0 0.011 0.99
