Index,Name,ICD-10 Chapter,ICD-10 Chapter (short),Colour,"AUC Female, (no gap)","AUC Male, (no gap)","AUC Female, (1 year gap)","AUC Male, (1 year gap)","N tokens, training","N tokens, validation"
79,A83 Mosquito-borne viral encephalitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.518794095692167,0.337017887918227,0.249404951782691,0.366300030553009,26,7
80,A84 Tick-borne viral encephalitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,2
81,"A85 Other viral encephalitis, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.936283978612021,,0.792925494670781,,11,3
82,A86 Unspecified viral encephalitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.934481008478388,0.808078974771166,0.881236865833532,0.667234705979012,100,18
83,A87 Viral meningitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.526068228071214,0.633493917405395,0.447360740724577,0.590297421641745,404,103
84,"A88 Other viral infections of central nervous system, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.002234417875343,,0.0020250106579508,20,3
85,A89 Unspecified viral infection of central nervous system,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,1.0,0.999955464505211,0.401421609936614,0.859394286681142,31,7
86,A90 Dengue fever [classical dengue],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,8,1
87,A91 Dengue haemorrhagic fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,0
88,A92 Other mosquito-borne viral fevers,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.490050940099429,,0.622517872751396,9,5
89,"A93 Other arthropod-borne viral fevers, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,8,1
90,A94 Unspecified arthropod-borne viral fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,2
91,A95 Yellow fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.984355893689025,0.694840147199265,0.672022096008714,0.593580068750382,58,14
92,A97 Dengue,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.690780141843972,,0.694674366377927,32,3
93,"A98 Other viral haemorrhagic fevers, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
94,B00 Herpesviral [herpes simplex] infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.821221380775099,0.813362316460223,0.776895226081396,0.772696221793113,3792,979
95,B01 Varicella [chickenpox],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.704968689171211,0.749280493679439,0.690115971775836,0.67857266173996,9606,2368
96,B02 Zoster [herpes zoster],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.781256386464074,0.760073654533754,0.762506164354204,0.747029999766407,12959,3269
97,B03 Smallpox,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,13,1
98,B05 Measles,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.586905658803613,0.405879645843151,0.736225380690988,0.44793197717517,6873,1703
99,B06 Rubella [german measles],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.796471050420513,0.765516886187791,0.636122405003107,0.759221406519289,2645,675
100,B07 Viral warts,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.791487479558088,0.783018356698212,0.748279470947124,0.759830039563285,14183,3552
101,"B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.797157766087334,0.692098829805672,0.773125001913667,0.676000342091152,830,215
102,B09 Unspecified viral infection characterised by skin and mucous membrane lesions,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.615010013661563,,0.689043547071762,,23,3
103,B15 Acute hepatitis a,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.781991308468408,0.608913888123628,0.721231800430707,0.545831486555826,880,215
104,B16 Acute hepatitis b,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.868669800669512,0.870918767990101,0.699518544724555,0.648676231458219,213,43
105,B17 Other acute viral hepatitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.684596892309059,0.719034168352213,0.635497435088123,0.574744188609795,235,68
106,B18 Chronic viral hepatitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.810447258611293,0.828859948889268,0.72258716896064,0.740669729942645,653,168
107,B19 Unspecified viral hepatitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.643530955281928,0.620100336601367,0.39507170731302,0.576883757258934,1088,252
108,B20 Human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,1.0,0.91692748195387,0.837655601659751,0.81197384543576,51,16
109,B21 Human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.954705087453166,,0.941190975276987,10,6
110,B22 Human immunodeficiency virus [hiv] disease resulting in other specified diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.82966126039055,,0.879847111364473,7,5
111,B23 Human immunodeficiency virus [hiv] disease resulting in other conditions,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.999949885032603,0.991491113303227,1.0,0.90843069434739,27,13
112,B24 Unspecified human immunodeficiency virus [hiv] disease,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.789092904455273,0.766646232444871,0.889626776216165,0.693708256355246,391,121
113,B25 Cytomegaloviral disease,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.883672557114401,0.941335424344508,0.754716560220437,0.775987601847447,222,55
114,B26 Mumps,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.646276340511088,0.594723293289011,0.680855641721411,0.642310406664886,4434,1137
115,B27 Infectious mononucleosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.760501214959199,0.81396565334626,0.689514703369164,0.698657515846249,2631,668
116,B30 Viral conjunctivitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.769193427899942,0.698012926885911,0.693162136836152,0.667698777586377,163,43
117,"B33 Other viral diseases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.633628631127845,0.803217382009219,0.631402697819768,0.880581467562545,203,34
118,B34 Viral infection of unspecified site,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.773776382601274,0.779713413650188,0.748626313555686,0.751336955298065,9615,2344
119,B35 Dermatophytosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.846331458231828,0.823540846540763,0.819189242797857,0.80109779079776,26470,6515
120,B36 Other superficial mycoses,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.843915516109705,0.816065460393099,0.816424164777319,0.825663930430658,4598,1241
121,B37 Candidiasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.83001696318568,0.82315021972349,0.765721069350975,0.731045487182734,9367,2292
122,B38 Coccidioidomycosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
123,B39 Histoplasmosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,8,1
124,B40 Blastomycosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
125,B42 Sporotrichosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,0
126,B43 Chromomycosis and phaeomycotic abscess,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
127,B44 Aspergillosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.871004802252058,0.944571217019044,0.831184507989582,0.871300015338714,338,75
128,B45 Cryptococcosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,1
129,B46 Zygomycosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
130,B47 Mycetoma,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.706565283845127,,0.613208750927334,18,3
131,"B48 Other mycoses, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.546658198400108,,0.584283101237112,,26,3
132,B49 Unspecified mycosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.840131868131719,0.872121531704206,0.823469410449426,0.808312905030822,414,86
133,B50 Plasmodium falciparum malaria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.633059276662578,0.629064633351127,0.581589704085454,0.705764931215156,145,44
134,B51 Plasmodium vivax malaria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.551933012649207,,0.588356330186396,34,8
135,B52 Plasmodium malariae malaria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,1
136,B53 Other parasitologically confirmed malaria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,1
137,B54 Unspecified malaria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.677660607626326,0.702304896207628,0.511580262218293,0.64821967218721,694,173
138,B55 Leishmaniasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,16,1
139,B57 Chagas' disease,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
140,B58 Toxoplasmosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.583673684962529,0.96026851848596,0.54876330697012,0.859859034155256,45,16
141,B59 Pneumocystosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.940403545534407,0.958532620988104,0.867092115781813,0.746875542228204,118,39
142,"B60 Other protozoal diseases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,11,2
143,B65 Schistosomiasis [bilharziasis],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.546016107188804,0.541096545687111,0.61122254138829,0.691601873927064,91,19
144,B66 Other fluke infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,0
145,B67 Echinococcosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.690262084549481,,0.816562746650062,,9,3
146,B68 Taeniasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.532145999043499,,0.534530482749058,7,5
147,B69 Cysticercosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,0
148,B71 Other cestode infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,12,2
149,B73 Onchocerciasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,17,0
150,B74 Filariasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,0
151,B75 Trichinellosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,0,1
152,B76 Hookworm diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.601893521591494,0.207801418439716,0.498071664822057,0.169020380533469,28,5
153,B77 Ascariasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.384736098760266,,0.382178103537831,9,2
154,B78 Strongyloidiasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,2
155,B79 Trichuriasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,1
156,B80 Enterobiasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.771620784092116,0.768405438296513,0.746211989083227,0.773032189955294,592,173
157,"B81 Other intestinal helminthiases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.523790853130453,,0.565525261527098,14,3
158,B82 Unspecified intestinal parasitism,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.826304711941551,0.86328960157998,0.831195804752092,0.797546547098991,73,22
159,B83 Other helminthiases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.862332534158154,0.57224003033572,0.817958214930355,0.708838419203447,62,22
160,B85 Pediculosis and phthiriasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.753502436749672,0.737574195521536,0.706664947548353,0.713882127073317,258,77
161,B86 Scabies,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.825606832428857,0.802073448091712,0.824127483791194,0.784170394975119,1933,515
162,B87 Myiasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.625627746390458,,0.318663950367156,6,2
163,B88 Other infestations,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.822078644724196,0.833383475289435,0.838176986348945,0.753313108712528,146,38
164,B89 Unspecified parasitic disease,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,0
165,B90 Sequelae of tuberculosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.589857341072532,0.806112804519793,0.60684394755915,0.619755302621155,43,7
166,B91 Sequelae of poliomyelitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.889960412406336,0.854762192943187,0.903618045683906,0.86682168699611,192,42
167,B94 Sequelae of other and unspecified infectious and parasitic diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.753579225472911,0.871317179460338,0.680547889158825,0.76225458747618,107,31
168,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.799709413150126,0.80245654175063,0.698433700349041,0.697563084090096,6513,1558
169,B96 Other bacterial agents as the cause of diseases classified to other chapters,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.761627357556677,0.768323677941426,0.683218274524493,0.667595863388908,13531,3225
170,B97 Viral agents as the cause of diseases classified to other chapters,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.749036235066207,0.785483976227068,0.692537113131691,0.684173104758769,1528,353
171,B98 Other specified infectious agents as the cause of diseases classified to other chapters,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.661981214579066,0.686173752179917,0.61130945934247,0.624822490410918,3483,890
172,B99 Other and unspecified infectious diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.810349878399668,0.83603460250286,0.786346189880928,0.759932266388525,769,160
173,D50 Iron deficiency anaemia,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.745261348561681,0.760233670933127,0.705613862124076,0.701280891194277,22217,5627
174,D51 Vitamin b12 deficiency anaemia,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.729791114929682,0.716526975788455,0.703599980919816,0.708253407291524,2904,678
175,D52 Folate deficiency anaemia,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.813560502799114,0.782099413879107,0.76401797045927,0.759992131787209,601,165
176,D53 Other nutritional anaemias,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.802505458701744,0.912826324981586,0.682254079230767,0.858192431386477,202,44
177,D55 Anaemia due to enzyme disorders,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.690158027524082,0.9807591501958,0.541652728179284,0.981585448012576,26,8
178,D56 Thalassaemia,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.673403305213815,0.607529385578641,0.657018923081431,0.580588151335432,552,148
179,D57 Sickle-cell disorders,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896,0.712175914922404,0.657597527411303,0.720496053885295,0.66218469160516,543,129
