index,name,count,ICD-10 Chapter,ICD-10 Chapter (short),color
45,A40 Streptococcal septicaemia,575.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
46,A41 Other septicaemia,10621.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
47,A42 Actinomycosis,171.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
48,A43 Nocardiosis,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
49,A44 Bartonellosis,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
50,A46 Erysipelas,255.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
51,"A48 Other bacterial diseases, not elsewhere classified",175.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
52,A49 Bacterial infection of unspecified site,1887.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
53,A50 Congenital syphilis,9.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
54,A51 Early syphilis,15.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
55,A52 Late syphilis,17.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
56,A53 Other and unspecified syphilis,24.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
57,A54 Gonococcal infection,223.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
58,A55 Chlamydial lymphogranuloma venereum,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
59,A56 Other sexually transmitted chlamydial diseases,66.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
60,A58 Granuloma inguinale,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
61,A59 Trichomoniasis,76.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
62,A60 Anogenital herpesviral [herpes simplex] infections,352.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
63,"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",1442.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
64,A64 Unspecified sexually transmitted disease,3.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
65,A66 Yaws,15.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
66,A67 Pinta [carate],6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
67,A68 Relapsing fevers,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
68,A69 Other spirochaetal infections,246.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
69,A70 Chlamydia psittaci infection,27.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
70,A71 Trachoma,31.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
71,A74 Other diseases caused by chlamydiae,21.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
72,A75 Typhus fever,5.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
73,A77 Spotted fever [tick-borne rickettsioses],21.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
74,A78 Q fever,10.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
75,A79 Other rickettsioses,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
76,A80 Acute poliomyelitis,415.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
77,A81 Atypical virus infections of central nervous system,49.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
78,A82 Rabies,16.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
79,A83 Mosquito-borne viral encephalitis,26.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
80,A84 Tick-borne viral encephalitis,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
81,"A85 Other viral encephalitis, not elsewhere classified",11.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
82,A86 Unspecified viral encephalitis,100.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
83,A87 Viral meningitis,406.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
84,"A88 Other viral infections of central nervous system, not elsewhere classified",20.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
85,A89 Unspecified viral infection of central nervous system,31.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
86,A90 Dengue fever [classical dengue],8.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
87,A91 Dengue haemorrhagic fever,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
88,A92 Other mosquito-borne viral fevers,9.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
89,"A93 Other arthropod-borne viral fevers, not elsewhere classified",8.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
90,A94 Unspecified arthropod-borne viral fever,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
91,A95 Yellow fever,58.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
92,A97 Dengue,32.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
93,"A98 Other viral haemorrhagic fevers, not elsewhere classified",1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
94,B00 Herpesviral [herpes simplex] infections,3792.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
95,B01 Varicella [chickenpox],9614.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
96,B02 Zoster [herpes zoster],12959.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
97,B03 Smallpox,13.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
98,B05 Measles,6880.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
99,B06 Rubella [german measles],2650.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
100,B07 Viral warts,14183.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
101,"B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified",830.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
102,B09 Unspecified viral infection characterised by skin and mucous membrane lesions,23.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
103,B15 Acute hepatitis a,882.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
104,B16 Acute hepatitis b,213.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
105,B17 Other acute viral hepatitis,235.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
106,B18 Chronic viral hepatitis,653.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
107,B19 Unspecified viral hepatitis,1088.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
108,B20 Human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,51.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
109,B21 Human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,10.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
110,B22 Human immunodeficiency virus [hiv] disease resulting in other specified diseases,7.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
111,B23 Human immunodeficiency virus [hiv] disease resulting in other conditions,27.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
112,B24 Unspecified human immunodeficiency virus [hiv] disease,391.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
113,B25 Cytomegaloviral disease,222.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
114,B26 Mumps,4436.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
115,B27 Infectious mononucleosis,2631.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
116,B30 Viral conjunctivitis,163.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
117,"B33 Other viral diseases, not elsewhere classified",203.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
118,B34 Viral infection of unspecified site,9617.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
119,B35 Dermatophytosis,26472.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
120,B36 Other superficial mycoses,4598.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
121,B37 Candidiasis,9367.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
122,B38 Coccidioidomycosis,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
123,B39 Histoplasmosis,8.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
124,B40 Blastomycosis,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
125,B42 Sporotrichosis,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
126,B43 Chromomycosis and phaeomycotic abscess,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
127,B44 Aspergillosis,338.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
128,B45 Cryptococcosis,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
129,B46 Zygomycosis,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
130,B47 Mycetoma,18.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
131,"B48 Other mycoses, not elsewhere classified",26.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
132,B49 Unspecified mycosis,414.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
133,B50 Plasmodium falciparum malaria,145.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
134,B51 Plasmodium vivax malaria,34.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
135,B52 Plasmodium malariae malaria,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
136,B53 Other parasitologically confirmed malaria,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
137,B54 Unspecified malaria,695.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
138,B55 Leishmaniasis,16.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
139,B57 Chagas' disease,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
140,B58 Toxoplasmosis,45.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
141,B59 Pneumocystosis,118.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
142,"B60 Other protozoal diseases, not elsewhere classified",11.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
143,B65 Schistosomiasis [bilharziasis],91.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
144,B66 Other fluke infections,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
145,B67 Echinococcosis,9.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
146,B68 Taeniasis,7.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
147,B69 Cysticercosis,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
148,B71 Other cestode infections,12.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
149,B73 Onchocerciasis,17.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
150,B74 Filariasis,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
151,B75 Trichinellosis,,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
152,B76 Hookworm diseases,28.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
153,B77 Ascariasis,9.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
154,B78 Strongyloidiasis,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
155,B79 Trichuriasis,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
156,B80 Enterobiasis,592.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
157,"B81 Other intestinal helminthiases, not elsewhere classified",14.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
158,B82 Unspecified intestinal parasitism,73.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
159,B83 Other helminthiases,62.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
160,B85 Pediculosis and phthiriasis,258.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
161,B86 Scabies,1933.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
162,B87 Myiasis,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
163,B88 Other infestations,146.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
164,B89 Unspecified parasitic disease,4.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
165,B90 Sequelae of tuberculosis,43.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
166,B91 Sequelae of poliomyelitis,192.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
167,B94 Sequelae of other and unspecified infectious and parasitic diseases,107.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
168,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,6513.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
169,B96 Other bacterial agents as the cause of diseases classified to other chapters,13531.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
170,B97 Viral agents as the cause of diseases classified to other chapters,1528.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
171,B98 Other specified infectious agents as the cause of diseases classified to other chapters,3483.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
172,B99 Other and unspecified infectious diseases,769.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
173,D50 Iron deficiency anaemia,22221.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
174,D51 Vitamin b12 deficiency anaemia,2904.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
175,D52 Folate deficiency anaemia,601.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
176,D53 Other nutritional anaemias,202.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
177,D55 Anaemia due to enzyme disorders,26.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
178,D56 Thalassaemia,553.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
179,D57 Sickle-cell disorders,548.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
180,D58 Other hereditary haemolytic anaemias,224.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
181,D59 Acquired haemolytic anaemia,270.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
182,D60 Acquired pure red cell aplasia [erythroblastopenia],17.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
183,D61 Other aplastic anaemias,1118.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
184,D62 Acute posthaemorrhagic anaemia,350.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
185,D63 Anaemia in chronic diseases classified elsewhere,1270.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
186,D64 Other anaemias,23404.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
187,D65 Disseminated intravascular coagulation [defibrination syndrome],70.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
188,D66 Hereditary factor viii deficiency,112.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
189,D67 Hereditary factor ix deficiency,24.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
190,D68 Other coagulation defects,2007.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
191,D69 Purpura and other haemorrhagic conditions,4077.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
192,D70 Agranulocytosis,5577.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
193,D71 Functional disorders of polymorphonuclear neutrophils,27.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
194,D72 Other disorders of white blood cells,1124.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
195,D73 Diseases of spleen,945.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
196,D74 Methaemoglobinaemia,7.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
197,D75 Other diseases of blood and blood-forming organs,1837.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
198,D76 Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,95.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
199,D77 Other disorders of blood and blood-forming organs in diseases classified elsewhere,5.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
200,D80 Immunodeficiency with predominantly antibody defects,315.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
201,D81 Combined immunodeficiencies,11.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
202,D82 Immunodeficiency associated with other major defects,34.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
203,D83 Common variable immunodeficiency,36.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
204,D84 Other immunodeficiencies,143.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
205,D86 Sarcoidosis,1626.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
206,"D89 Other disorders involving the immune mechanism, not elsewhere classified",559.0,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
207,E01 Iodine-deficiency-related thyroid disorders and allied conditions,85.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
208,E02 Subclinical iodine-deficiency hypothyroidism,115.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
209,E03 Other hypothyroidism,30100.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
210,E04 Other non-toxic goitre,4190.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
211,E05 Thyrotoxicosis [hyperthyroidism],6343.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
212,E06 Thyroiditis,1052.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
213,E07 Other disorders of thyroid,1876.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
214,E10 Insulin-dependent diabetes mellitus,4050.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
215,E11 Non-insulin-dependent diabetes mellitus,32738.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
216,E12 Malnutrition-related diabetes mellitus,5.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
217,E13 Other specified diabetes mellitus,394.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
218,E14 Unspecified diabetes mellitus,20057.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
219,E15 Nondiabetic hypoglycaemic coma,27.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
220,E16 Other disorders of pancreatic internal secretion,3293.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
221,E20 Hypoparathyroidism,193.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
222,E21 Hyperparathyroidism and other disorders of parathyroid gland,1855.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
223,E22 Hyperfunction of pituitary gland,825.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
224,E23 Hypofunction and other disorders of pituitary gland,990.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
225,E24 Cushing's syndrome,188.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
226,E25 Adrenogenital disorders,29.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
227,E26 Hyperaldosteronism,138.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
228,E27 Other disorders of adrenal gland,1112.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
229,E28 Ovarian dysfunction,1819.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
230,E29 Testicular dysfunction,479.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
231,"E30 Disorders of puberty, not elsewhere classified",15.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
232,E31 Polyglandular dysfunction,18.0,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
